"selection1_batsmen_name","selection1_batsmen_Out_NotOut","selection1_batsmen_Runs","selection1_batsmen_Balls","selection1_batsmen_Fours","selection1_batsmen_Sixes","selection1_batsmen_Strike_Rate","selection1_batsmen_Team","selection1_batsmen_Match_No"
"David Willey","not out","11","10","1","0","110.00","Royal Challengers Bangalore","36th Match (N), Bengaluru, April 26, 2023,
Indian Premier League"
"Vijaykumar Vyshak","not out","13","8","0","1","162.50","Royal Challengers Bangalore","36th Match (N), Bengaluru, April 26, 2023,
Indian Premier League"
"Mohammed Siraj","","Did not bat:","","","","","",""
"Yashasvi Jaiswal","c Rahane b Deshpande","77","43","8","4","179.06","Rajasthan Royals","37th Match (N), Jaipur, April 27, 2023,
Indian Premier League"
"Jos Buttler","c Dube b Jadeja","27","21","4","0","128.57","Rajasthan Royals","37th Match (N), Jaipur, April 27, 2023,
Indian Premier League"
"Sanju Samson (c)†","c Gaikwad b Deshpande","17","17","1","0","100.00","Rajasthan Royals","37th Match (N), Jaipur, April 27, 2023,
Indian Premier League"
"Shimron Hetmyer","b Theekshana","8","10","0","0","80.00","Rajasthan Royals","37th Match (N), Jaipur, April 27, 2023,
Indian Premier League"
"Dhruv Jurel","run out (†Dhoni)","34","15","3","2","226.66","Rajasthan Royals","37th Match (N), Jaipur, April 27, 2023,
Indian Premier League"
"Devdutt Padikkal","not out","27","13","5","0","207.69","Rajasthan Royals","37th Match (N), Jaipur, April 27, 2023,
Indian Premier League"
"Ravichandran Ashwin","not out","1","1","0","0","100.00","Rajasthan Royals","37th Match (N), Jaipur, April 27, 2023,
Indian Premier League"
"Jason Holder,","","Did not bat:","","","","","",""
"Sandeep Sharma,","","Did not bat:","","","","","",""
"Yuzvendra Chahal,","","Did not bat:","","","","","",""
"Adam Zampa","","Did not bat:","","","","","",""
"Ruturaj Gaikwad","c Padikkal b Zampa","47","29","5","1","162.06","Chennai Super Kings","37th Match (N), Jaipur, April 27, 2023,
Indian Premier League"
"Devon Conway","c Sandeep Sharma b Zampa","8","16","1","0","50.00","Chennai Super Kings","37th Match (N), Jaipur, April 27, 2023,
Indian Premier League"
"Ajinkya Rahane","c Buttler b Ashwin","15","13","0","0","115.38","Chennai Super Kings","37th Match (N), Jaipur, April 27, 2023,
Indian Premier League"
"Shivam Dube","c Buttler b Yadav","52","33","2","4","157.57","Chennai Super Kings","37th Match (N), Jaipur, April 27, 2023,
Indian Premier League"
"Ambati Rayudu","c Holder b Ashwin","0","2","0","0","0.00","Chennai Super Kings","37th Match (N), Jaipur, April 27, 2023,
Indian Premier League"
"Moeen Ali","c †Samson b Zampa","23","12","2","2","191.66","Chennai Super Kings","37th Match (N), Jaipur, April 27, 2023,
Indian Premier League"
"Ravindra Jadeja","not out","23","15","3","0","153.33","Chennai Super Kings","37th Match (N), Jaipur, April 27, 2023,
Indian Premier League"
"MS Dhoni (c)†,","","Did not bat:","","","","","",""
"Matheesha Pathirana,","","Did not bat:","","","","","",""
"Tushar Deshpande,","","Did not bat:","","","","","",""
"Maheesh Theekshana","","Did not bat:","","","","","",""
"KL Rahul (c)","c Shahrukh Khan b Rabada","12","9","1","1","133.33","Lucknow Super Giants","38th Match (N), Mohali, April 28, 2023,
Indian Premier League"
"Kyle Mayers","c Dhawan b Rabada","54","24","7","4","225.00","Lucknow Super Giants","38th Match (N), Mohali, April 28, 2023,
Indian Premier League"
"Ayush Badoni","c Chahar b Livingstone","43","24","3","3","179.16","Lucknow Super Giants","38th Match (N), Mohali, April 28, 2023,
Indian Premier League"
"Marcus Stoinis","c †Sharma b Curran","72","40","6","5","180.00","Lucknow Super Giants","38th Match (N), Mohali, April 28, 2023,
Indian Premier League"
"Nicholas Pooran †","lbw b Arshdeep Singh","45","19","7","1","236.84","Lucknow Super Giants","38th Match (N), Mohali, April 28, 2023,
Indian Premier League"
"Deepak Hooda","not out","11","6","2","0","183.33","Lucknow Super Giants","38th Match (N), Mohali, April 28, 2023,
Indian Premier League"
"Krunal Pandya","not out","5","2","1","0","250.00","Lucknow Super Giants","38th Match (N), Mohali, April 28, 2023,
Indian Premier League"
"Naveen-ul-Haq,","","Did not bat:","","","","","",""
"Ravi Bishnoi,","","Did not bat:","","","","","",""
"Avesh Khan,","","Did not bat:","","","","","",""
"Yash Thakur","","Did not bat:","","","","","",""
"Prabhsimran Singh","c sub (DR Sams) b Naveen-ul-Haq","9","13","2","0","69.23","Punjab Kings","38th Match (N), Mohali, April 28, 2023,
Indian Premier League"
"Shikhar Dhawan (c)","c Pandya b Stoinis","1","2","0","0","50.00","Punjab Kings","38th Match (N), Mohali, April 28, 2023,
Indian Premier League"
"Atharva Taide","c & b Ravi Bishnoi","66","36","8","2","183.33","Punjab Kings","38th Match (N), Mohali, April 28, 2023,
Indian Premier League"
"Sikandar Raza","c Pandya b Yash Thakur","36","22","4","1","163.63","Punjab Kings","38th Match (N), Mohali, April 28, 2023,
Indian Premier League"
"Liam Livingstone","lbw b Ravi Bishnoi","23","14","2","1","164.28","Punjab Kings","38th Match (N), Mohali, April 28, 2023,
Indian Premier League"
"Sam Curran","c Badoni b Naveen-ul-Haq","21","11","2","1","190.90","Punjab Kings","38th Match (N), Mohali, April 28, 2023,
Indian Premier League"
"Jitesh Sharma †","c Rahul b Yash Thakur","24","10","0","3","240.00","Punjab Kings","38th Match (N), Mohali, April 28, 2023,
Indian Premier League"
"M Shahrukh Khan","c Ravi Bishnoi b Yash Thakur","6","9","0","0","66.66","Punjab Kings","38th Match (N), Mohali, April 28, 2023,
Indian Premier League"
"Rahul Chahar","c Hooda b Yash Thakur","0","1","0","0","0.00","Punjab Kings","38th Match (N), Mohali, April 28, 2023,
Indian Premier League"
"Kagiso Rabada","b Naveen-ul-Haq","0","1","0","0","0.00","Punjab Kings","38th Match (N), Mohali, April 28, 2023,
Indian Premier League"
"Arshdeep Singh","not out","2","2","0","0","100.00","Punjab Kings","38th Match (N), Mohali, April 28, 2023,
Indian Premier League"
"Narayan Jagadeesan †","lbw b Mohammed Shami","19","15","4","0","126.66","Kolkata Knight Riders","39th Match (D/N), Eden Gardens, April 29, 2023,
Indian Premier League"
"Rahmanullah Gurbaz","c Rashid Khan b Noor Ahmad","81","39","5","7","207.69","Kolkata Knight Riders","39th Match (D/N), Eden Gardens, April 29, 2023,
Indian Premier League"
"Shardul Thakur","c Sharma b Mohammed Shami","0","4","0","0","0.00","Kolkata Knight Riders","39th Match (D/N), Eden Gardens, April 29, 2023,
Indian Premier League"
"Venkatesh Iyer","lbw b Little","11","14","0","0","78.57","Kolkata Knight Riders","39th Match (D/N), Eden Gardens, April 29, 2023,
Indian Premier League"
"Nitish Rana (c)","c Tewatia b Little","4","3","1","0","133.33","Kolkata Knight Riders","39th Match (D/N), Eden Gardens, April 29, 2023,
Indian Premier League"
"Rinku Singh","c Little b Noor Ahmad","19","20","0","1","95.00","Kolkata Knight Riders","39th Match (D/N), Eden Gardens, April 29, 2023,
Indian Premier League"
"Andre Russell","c Tewatia b Mohammed Shami","34","19","2","3","178.94","Kolkata Knight Riders","39th Match (D/N), Eden Gardens, April 29, 2023,
Indian Premier League"
"David Wiese","not out","8","6","0","1","133.33","Kolkata Knight Riders","39th Match (D/N), Eden Gardens, April 29, 2023,
Indian Premier League"
"Sunil Narine,","","Did not bat:","","","","","",""
"Harshit Rana,","","Did not bat:","","","","","",""
"Varun Chakravarthy","","Did not bat:","","","","","",""
"Wriddhiman Saha †","c Harshit Rana b Russell","10","10","1","0","100.00","Gujarat Titans","39th Match (D/N), Eden Gardens, April 29, 2023,
Indian Premier League"
"Shubman Gill","c Russell b Narine","49","35","8","0","140.00","Gujarat Titans","39th Match (D/N), Eden Gardens, April 29, 2023,
Indian Premier League"
"Hardik Pandya (c)","lbw b Harshit Rana","26","20","2","1","130.00","Gujarat Titans","39th Match (D/N), Eden Gardens, April 29, 2023,
Indian Premier League"
"Vijay Shankar","not out","51","24","2","5","212.50","Gujarat Titans","39th Match (D/N), Eden Gardens, April 29, 2023,
Indian Premier League"
"David Miller","not out","32","18","2","2","177.77","Gujarat Titans","39th Match (D/N), Eden Gardens, April 29, 2023,
Indian Premier League"
"Abhinav Manohar,","","Did not bat:","","","","","",""
"Rahul Tewatia,","","Did not bat:","","","","","",""
"Rashid Khan,","","Did not bat:","","","","","",""
"Noor Ahmad,","","Did not bat:","","","","","",""
"Mohammed Shami,","","Did not bat:","","","","","",""
"Josh Little","","Did not bat:","","","","","",""
"Abhishek Sharma","c Warner b AR Patel","67","36","12","1","186.11","Sunrisers Hyderabad","40th Match (N), Delhi, April 29, 2023,
Indian Premier League"
"Mayank Agarwal","c †Salt b Sharma","5","6","1","0","83.33","Sunrisers Hyderabad","40th Match (N), Delhi, April 29, 2023,
Indian Premier League"
"Rahul Tripathi","c Pandey b Marsh","10","6","0","1","166.66","Sunrisers Hyderabad","40th Match (N), Delhi, April 29, 2023,
Indian Premier League"
"Aiden Markram (c)","c AR Patel b Marsh","8","13","0","0","61.53","Sunrisers Hyderabad","40th Match (N), Delhi, April 29, 2023,
Indian Premier League"
"Harry Brook","c AR Patel b Marsh","0","2","0","0","0.00","Sunrisers Hyderabad","40th Match (N), Delhi, April 29, 2023,
Indian Premier League"
"Heinrich Klaasen †","not out","53","27","2","4","196.29","Sunrisers Hyderabad","40th Match (N), Delhi, April 29, 2023,
Indian Premier League"
"Abdul Samad","c †Salt b Marsh","28","21","1","2","133.33","Sunrisers Hyderabad","40th Match (N), Delhi, April 29, 2023,
Indian Premier League"
"Akeal Hosein","not out","16","10","1","1","160.00","Sunrisers Hyderabad","40th Match (N), Delhi, April 29, 2023,
Indian Premier League"
"Mayank Markande,","","Did not bat:","","","","","",""
"Bhuvneshwar Kumar,","","Did not bat:","","","","","",""
"Umran Malik","","Did not bat:","","","","","",""
"David Warner (c)","b Kumar","0","2","0","0","0.00","Delhi Capitals","40th Match (N), Delhi, April 29, 2023,
Indian Premier League"
"Phil Salt †","c & b Markande","59","35","9","0","168.57","Delhi Capitals","40th Match (N), Delhi, April 29, 2023,
Indian Premier League"
"Mitchell Marsh","c Markram b Hosein","63","39","1","6","161.53","Delhi Capitals","40th Match (N), Delhi, April 29, 2023,
Indian Premier League"
"Manish Pandey","st †Klaasen b Abhishek Sharma","1","3","0","0","33.33","Delhi Capitals","40th Match (N), Delhi, April 29, 2023,
Indian Premier League"
"Priyam Garg","b Markande","12","9","1","0","133.33","Delhi Capitals","40th Match (N), Delhi, April 29, 2023,
Indian Premier League"
"Sarfaraz Khan","b Natarajan","9","10","1","0","90.00","Delhi Capitals","40th Match (N), Delhi, April 29, 2023,
Indian Premier League"
"Axar Patel","not out","29","14","1","2","207.14","Delhi Capitals","40th Match (N), Delhi, April 29, 2023,
Indian Premier League"
"Ripal Patel","not out","11","8","1","0","137.50","Delhi Capitals","40th Match (N), Delhi, April 29, 2023,
Indian Premier League"
"Kuldeep Yadav,","","Did not bat:","","","","","",""
"Anrich Nortje,","","Did not bat:","","","","","",""
"Mukesh Kumar","","Did not bat:","","","","","",""
"Ruturaj Gaikwad","st †Sharma b Sikandar Raza","37","31","4","1","119.35","Chennai Super Kings","41st Match (D/N), Chennai, April 30, 2023,
Indian Premier League"
"Devon Conway","not out","92","52","16","1","176.92","Chennai Super Kings","41st Match (D/N), Chennai, April 30, 2023,
Indian Premier League"
"Shivam Dube","c Shahrukh Khan b Arshdeep Singh","28","17","1","2","164.70","Chennai Super Kings","41st Match (D/N), Chennai, April 30, 2023,
Indian Premier League"
"Moeen Ali","st †Sharma b Chahar","10","6","2","0","166.66","Chennai Super Kings","41st Match (D/N), Chennai, April 30, 2023,
Indian Premier League"
"Ravindra Jadeja","c Livingstone b Curran","12","10","0","0","120.00","Chennai Super Kings","41st Match (D/N), Chennai, April 30, 2023,
Indian Premier League"
"MS Dhoni (c)†","not out","13","4","0","2","325.00","Chennai Super Kings","41st Match (D/N), Chennai, April 30, 2023,
Indian Premier League"
"Ajinkya Rahane,","","Did not bat:","","","","","",""
"Matheesha Pathirana,","","Did not bat:","","","","","",""
"Tushar Deshpande,","","Did not bat:","","","","","",""
"Maheesh Theekshana,","","Did not bat:","","","","","",""
"Ambati Rayudu","","Did not bat:","","","","","",""
"Prabhsimran Singh","st †Dhoni b Jadeja","42","24","4","2","175.00","Punjab Kings","41st Match (D/N), Chennai, April 30, 2023,
Indian Premier League"
"Shikhar Dhawan (c)","c Pathirana b Deshpande","28","15","4","1","186.66","Punjab Kings","41st Match (D/N), Chennai, April 30, 2023,
Indian Premier League"
"Atharva Taide","c & b Jadeja","13","17","0","0","76.47","Punjab Kings","41st Match (D/N), Chennai, April 30, 2023,
Indian Premier League"
"Liam Livingstone","c Gaikwad b Deshpande","40","24","1","4","166.66","Punjab Kings","41st Match (D/N), Chennai, April 30, 2023,
Indian Premier League"
"Sam Curran","b Pathirana","29","20","1","1","145.00","Punjab Kings","41st Match (D/N), Chennai, April 30, 2023,
Indian Premier League"
"Jitesh Sharma †","c sub (SK Rasheed) b Deshpande","21","10","2","1","210.00","Punjab Kings","41st Match (D/N), Chennai, April 30, 2023,
Indian Premier League"
"M Shahrukh Khan","not out","2","3","0","0","66.66","Punjab Kings","41st Match (D/N), Chennai, April 30, 2023,
Indian Premier League"
"Sikandar Raza","not out","13","7","1","0","185.71","Punjab Kings","41st Match (D/N), Chennai, April 30, 2023,
Indian Premier League"
"Harpreet Brar,","","Did not bat:","","","","","",""
"Rahul Chahar,","","Did not bat:","","","","","",""
"Arshdeep Singh","","Did not bat:","","","","","",""
"Yashasvi Jaiswal","c & b Arshad Khan","124","62","16","8","200.00","Rajasthan Royals","42nd Match (N), Wankhede, April 30, 2023,
Indian Premier League"
"Jos Buttler","c sub (Ramandeep Singh) b Chawla","18","19","2","1","94.73","Rajasthan Royals","42nd Match (N), Wankhede, April 30, 2023,
Indian Premier League"
"Sanju Samson (c)†","c Tilak Varma b Arshad Khan","14","10","1","1","140.00","Rajasthan Royals","42nd Match (N), Wankhede, April 30, 2023,
Indian Premier League"
"Devdutt Padikkal","b Chawla","2","4","0","0","50.00","Rajasthan Royals","42nd Match (N), Wankhede, April 30, 2023,
Indian Premier League"
"Jason Holder","c David b Archer","11","9","0","1","122.22","Rajasthan Royals","42nd Match (N), Wankhede, April 30, 2023,
Indian Premier League"
"Shimron Hetmyer","c Yadav b Arshad Khan","8","9","0","1","88.88","Rajasthan Royals","42nd Match (N), Wankhede, April 30, 2023,
Indian Premier League"
"Dhruv Jurel","c Tilak Varma b Meredith","2","3","0","0","66.66","Rajasthan Royals","42nd Match (N), Wankhede, April 30, 2023,
Indian Premier League"
"Ravichandran Ashwin","not out","8","5","1","0","160.00","Rajasthan Royals","42nd Match (N), Wankhede, April 30, 2023,
Indian Premier League"
"Trent Boult","not out","0","0","0","0","-","Rajasthan Royals","42nd Match (N), Wankhede, April 30, 2023,
Indian Premier League"
"Sandeep Sharma,","","Did not bat:","","","","","",""
"Yuzvendra Chahal","","Did not bat:","","","","","",""
"Rohit Sharma (c)","b Sandeep Sharma","3","5","0","0","60.00","Mumbai Indians","42nd Match (N), Wankhede, April 30, 2023,
Indian Premier League"
"Ishan Kishan †","c Boult b Ashwin","28","23","4","0","121.73","Mumbai Indians","42nd Match (N), Wankhede, April 30, 2023,
Indian Premier League"
"Cameron Green","c Boult b Ashwin","44","26","4","2","169.23","Mumbai Indians","42nd Match (N), Wankhede, April 30, 2023,
Indian Premier League"
"Suryakumar Yadav","c Sandeep Sharma b Boult","55","29","8","2","189.65","Mumbai Indians","42nd Match (N), Wankhede, April 30, 2023,
Indian Premier League"
"Tilak Varma","not out","29","21","3","1","138.09","Mumbai Indians","42nd Match (N), Wankhede, April 30, 2023,
Indian Premier League"
"Tim David","not out","45","14","2","5","321.42","Mumbai Indians","42nd Match (N), Wankhede, April 30, 2023,
Indian Premier League"
"Piyush Chawla,","","Did not bat:","","","","","",""
"Jofra Archer,","","Did not bat:","","","","","",""
"Kumar Kartikeya,","","Did not bat:","","","","","",""
"Riley Meredith,","","Did not bat:","","","","","",""
"Arshad Khan","","Did not bat:","","","","","",""
"Virat Kohli","st †Pooran b Ravi Bishnoi","31","30","3","0","103.33","Royal Challengers Bangalore","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League"
"Faf du Plessis (c)","c Pandya b Mishra","44","40","1","1","110.00","Royal Challengers Bangalore","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League"
"Anuj Rawat","c Mayers b Gowtham","9","11","0","0","81.81","Royal Challengers Bangalore","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League"
"Glenn Maxwell","lbw b Ravi Bishnoi","4","5","0","0","80.00","Royal Challengers Bangalore","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League"
"Suyash Prabhudessai","c Gowtham b Mishra","6","7","0","0","85.71","Royal Challengers Bangalore","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League"
"Dinesh Karthik †","run out (Yash Thakur)","16","11","1","1","145.45","Royal Challengers Bangalore","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League"
"Mahipal Lomror","lbw b Naveen-ul-Haq","3","4","0","0","75.00","Royal Challengers Bangalore","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League"
"Wanindu Hasaranga","not out","8","7","1","0","114.28","Royal Challengers Bangalore","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League"
"Karn Sharma","c Gowtham b Naveen-ul-Haq","2","2","0","0","100.00","Royal Challengers Bangalore","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League"
"Mohammed Siraj","c †Pooran b Naveen-ul-Haq","0","1","0","0","0.00","Royal Challengers Bangalore","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League"
"Josh Hazlewood","not out","1","2","0","0","50.00","Royal Challengers Bangalore","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League"
"Kyle Mayers","c Anuj Rawat b Mohammed Siraj","0","2","0","0","0.00","Lucknow Super Giants","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League"
"Ayush Badoni","c Kohli b Hazlewood","4","11","0","0","36.36","Lucknow Super Giants","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League"
"Krunal Pandya","c Kohli b Maxwell","14","11","3","0","127.27","Lucknow Super Giants","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League"
"Deepak Hooda","st †Karthik b de Silva","1","2","0","0","50.00","Lucknow Super Giants","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League"
"Marcus Stoinis","c Prabhudessai b Sharma","13","19","0","1","68.42","Lucknow Super Giants","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League"
"Nicholas Pooran †","c Lomror b Sharma","9","7","0","1","128.57","Lucknow Super Giants","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League"
"Krishnappa Gowtham","run out (sub [R Sonu Yadav]/†Karthik)","23","13","1","2","176.92","Lucknow Super Giants","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League"
"Ravi Bishnoi","run out (Patel/†Karthik)","5","10","0","0","50.00","Lucknow Super Giants","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League"
"Amit Mishra","c †Karthik b Patel","19","30","2","0","63.33","Lucknow Super Giants","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League"
"Naveen-ul-Haq","c †Karthik b Hazlewood","13","13","2","0","100.00","Lucknow Super Giants","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League"
"KL Rahul (c)","not out","0","3","0","0","0.00","Lucknow Super Giants","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League"
"Phil Salt †","c Miller b Mohammed Shami","0","1","0","0","0.00","Delhi Capitals","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League"
"David Warner (c)","run out (Rashid Khan)","2","2","0","0","100.00","Delhi Capitals","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League"
"Priyam Garg","c †Saha b Mohammed Shami","10","14","0","0","71.42","Delhi Capitals","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League"
"Rilee Rossouw","c †Saha b Mohammed Shami","8","6","2","0","133.33","Delhi Capitals","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League"
"Manish Pandey","c †Saha b Mohammed Shami","1","4","0","0","25.00","Delhi Capitals","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League"
"Axar Patel","c Rashid Khan b Sharma","27","30","2","1","90.00","Delhi Capitals","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League"
"Aman Hakim Khan","c Manohar b Rashid Khan","51","44","3","3","115.90","Delhi Capitals","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League"
"Ripal Patel","c Pandya b Sharma","23","13","2","1","176.92","Delhi Capitals","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League"
"Anrich Nortje","not out","3","6","0","0","50.00","Delhi Capitals","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League"
"Kuldeep Yadav","not out","0","1","0","0","0.00","Delhi Capitals","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League"
"Ishant Sharma","","Did not bat:","","","","","",""
"Wriddhiman Saha †","c †Salt b Ahmed","0","6","0","0","0.00","Gujarat Titans","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League"
"Shubman Gill","c Pandey b Nortje","6","7","1","0","85.71","Gujarat Titans","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League"
"Hardik Pandya (c)","not out","59","53","7","0","111.32","Gujarat Titans","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League"
"Vijay Shankar","b Sharma","6","9","1","0","66.66","Gujarat Titans","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League"
"David Miller","b Kuldeep Yadav","0","3","0","0","0.00","Gujarat Titans","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League"
"Abhinav Manohar","c Aman Hakim Khan b Ahmed","26","33","0","1","78.78","Gujarat Titans","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League"
"Rahul Tewatia","c Rossouw b Sharma","20","7","0","3","285.71","Gujarat Titans","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League"
"Rashid Khan","not out","3","2","0","0","150.00","Gujarat Titans","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League"
"Noor Ahmad,","","Did not bat:","","","","","",""
"Mohammed Shami,","","Did not bat:","","","","","",""
"Josh Little","","Did not bat:","","","","","",""
"Manan Vohra","b Theekshana","10","11","1","0","90.90","Lucknow Super Giants","45th Match (D/N), Lucknow, May 03, 2023,
Indian Premier League"
"Kyle Mayers","c Gaikwad b Ali","14","17","2","0","82.35","Lucknow Super Giants","45th Match (D/N), Lucknow, May 03, 2023,
Indian Premier League"
"Karan Sharma","c & b Ali","9","16","0","0","56.25","Lucknow Super Giants","45th Match (D/N), Lucknow, May 03, 2023,
Indian Premier League"
"Krunal Pandya (c)","c Rahane b Theekshana","0","1","0","0","0.00","Lucknow Super Giants","45th Match (D/N), Lucknow, May 03, 2023,
Indian Premier League"
"Marcus Stoinis","b Jadeja","6","4","1","0","150.00","Lucknow Super Giants","45th Match (D/N), Lucknow, May 03, 2023,
Indian Premier League"
"Nicholas Pooran †","c Ali b Pathirana","20","31","0","0","64.51","Lucknow Super Giants","45th Match (D/N), Lucknow, May 03, 2023,
Indian Premier League"
"Ayush Badoni","not out","59","33","2","4","178.78","Lucknow Super Giants","45th Match (D/N), Lucknow, May 03, 2023,
Indian Premier League"
"Krishnappa Gowtham","c Rahane b Pathirana","1","3","0","0","33.33","Lucknow Super Giants","45th Match (D/N), Lucknow, May 03, 2023,
Indian Premier League"
"Naveen-ul-Haq,","","Did not bat:","","","","","",""
"Ravi Bishnoi,","","Did not bat:","","","","","",""
"Mohsin Khan","","Did not bat:","","","","","",""
"Ambati Rayudu,","","Chennai Super Kings Team:","","","","","",""
"Ruturaj Gaikwad,","","Chennai Super Kings Team:","","","","","",""
"Devon Conway,","","Chennai Super Kings Team:","","","","","",""
"Ajinkya Rahane,","","Chennai Super Kings Team:","","","","","",""
"Moeen Ali,","","Chennai Super Kings Team:","","","","","",""
"Shivam Dube,","","Chennai Super Kings Team:","","","","","",""
"Ravindra Jadeja,","","Chennai Super Kings Team:","","","","","",""
"MS Dhoni (c)†,","","Chennai Super Kings Team:","","","","","",""
"Matheesha Pathirana,","","Chennai Super Kings Team:","","","","","",""
"Tushar Deshpande,","","Chennai Super Kings Team:","","","","","",""
"Maheesh Theekshana,","","Chennai Super Kings Team:","","","","","",""
"Deepak Chahar","","Chennai Super Kings Team:","","","","","",""
"Prabhsimran Singh","c †Ishan Kishan b Arshad Khan","9","7","1","0","128.57","Punjab Kings","46th Match (N), Mohali, May 03, 2023,
Indian Premier League"
"Shikhar Dhawan (c)","st †Ishan Kishan b Chawla","30","20","5","0","150.00","Punjab Kings","46th Match (N), Mohali, May 03, 2023,
Indian Premier League"
"Matthew Short","b Chawla","27","26","2","1","103.84","Punjab Kings","46th Match (N), Mohali, May 03, 2023,
Indian Premier League"
"Liam Livingstone","not out","82","42","7","4","195.23","Punjab Kings","46th Match (N), Mohali, May 03, 2023,
Indian Premier League"
"Jitesh Sharma †","not out","49","27","5","2","181.48","Punjab Kings","46th Match (N), Mohali, May 03, 2023,
Indian Premier League"
"Sam Curran,","","Did not bat:","","","","","",""
"M Shahrukh Khan,","","Did not bat:","","","","","",""
"Harpreet Brar,","","Did not bat:","","","","","",""
"Rishi Dhawan,","","Did not bat:","","","","","",""
"Rahul Chahar,","","Did not bat:","","","","","",""
"Arshdeep Singh","","Did not bat:","","","","","",""
"Rohit Sharma (c)","c Short b R Dhawan","0","3","0","0","0.00","Mumbai Indians","46th Match (N), Mohali, May 03, 2023,
Indian Premier League"
"Ishan Kishan †","c R Dhawan b Arshdeep Singh","75","41","7","4","182.92","Mumbai Indians","46th Match (N), Mohali, May 03, 2023,
Indian Premier League"
"Cameron Green","c Chahar b Ellis","23","18","4","0","127.77","Mumbai Indians","46th Match (N), Mohali, May 03, 2023,
Indian Premier League"
"Suryakumar Yadav","c Arshdeep Singh b Ellis","66","31","8","2","212.90","Mumbai Indians","46th Match (N), Mohali, May 03, 2023,
Indian Premier League"
"Tim David","not out","19","10","3","0","190.00","Mumbai Indians","46th Match (N), Mohali, May 03, 2023,
Indian Premier League"
"Tilak Varma","not out","26","10","1","3","260.00","Mumbai Indians","46th Match (N), Mohali, May 03, 2023,
Indian Premier League"
"Nehal Wadhera,","","Did not bat:","","","","","",""
"Piyush Chawla,","","Did not bat:","","","","","",""
"Jofra Archer,","","Did not bat:","","","","","",""
"Kumar Kartikeya,","","Did not bat:","","","","","",""
"Arshad Khan","","Did not bat:","","","","","",""
"Jason Roy","c Agarwal b Kartik Tyagi","20","19","4","0","105.26","Kolkata Knight Riders","47th Match (N), Hyderabad, May 04, 2023,
Indian Premier League"
"Rahmanullah Gurbaz †","c Brook b Jansen","0","1","0","0","0.00","Kolkata Knight Riders","47th Match (N), Hyderabad, May 04, 2023,
Indian Premier League"
"Venkatesh Iyer","c †Klaasen b Jansen","7","4","1","0","175.00","Kolkata Knight Riders","47th Match (N), Hyderabad, May 04, 2023,
Indian Premier League"
"Nitish Rana (c)","c & b Markram","42","31","3","3","135.48","Kolkata Knight Riders","47th Match (N), Hyderabad, May 04, 2023,
Indian Premier League"
"Rinku Singh","c Abdul Samad b Natarajan","46","35","4","1","131.42","Kolkata Knight Riders","47th Match (N), Hyderabad, May 04, 2023,
Indian Premier League"
"Andre Russell","c Natarajan b Markande","24","15","1","2","160.00","Kolkata Knight Riders","47th Match (N), Hyderabad, May 04, 2023,
Indian Premier League"
